datetime,BTCUSD,ETHUSD,SOLUSD,XRPUSD
2026-02-21 07:00:00+00:00,0.54558325,0.5460471,0.466238,0.5141363
2026-02-21 08:00:00+00:00,0.5040069,0.6116287,0.5912138,0.62084365
2026-02-21 09:00:00+00:00,0.42234594,0.48640054,0.40551934,0.45526025
2026-02-21 10:00:00+00:00,0.41084284,0.54990107,0.40631646,0.4148743
2026-02-21 11:00:00+00:00,0.40457255,0.5264429,0.41345498,0.4293667
2026-02-21 12:00:00+00:00,0.38803264,0.5256238,0.46073857,0.3895603
2026-02-21 13:00:00+00:00,0.44295102,0.53549236,0.46551335,0.47257432
2026-02-21 14:00:00+00:00,0.40036497,0.5457261,0.49397457,0.4341649
2026-02-21 15:00:00+00:00,0.43296626,0.6030048,0.33851683,0.410004
2026-02-21 16:00:00+00:00,0.4268486,0.5041042,0.35548195,0.3959337
2026-02-21 17:00:00+00:00,0.5026335,0.509242,0.4986703,0.47110665
2026-02-21 18:00:00+00:00,0.4669183,0.5337561,0.41939148,0.40136588
2026-02-21 19:00:00+00:00,0.37246194,0.42128837,0.3590646,0.36847767
2026-02-21 20:00:00+00:00,0.4297158,0.46247742,0.3776072,0.44988322
2026-02-21 21:00:00+00:00,0.5657006,0.57966536,0.5443431,0.51134187
